,INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
61358,FAILED,PL154027,OPEN,COMPLAINT,small,-87.57662433,41.77279729,PLUMBING
81499,FAILED,CN196029,OPEN,COMPLAINT,small,-87.64920231,41.80255235,CONSERVATION
33627,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.55406325,41.72581902,DEMOLITION
50343,FAILED,CN190019,OPEN,COMPLAINT,small,-87.75135048,41.91697524,CONSERVATION
8088,FAILED,NC2022,OPEN,COMPLAINT,small,-87.58180248,41.75055086,NEW CONSTRUCTION
26032,FAILED,EV0061,OPEN,COMPLAINT,small,-87.64645269,41.90856014,ELEVATOR
50144,FAILED,CN196029,OPEN,PERIODIC,small,-87.58534948,41.79861967,CONSERVATION
79485,FAILED,CN016012,OPEN,PERIODIC,small,-87.66906686,41.94935646,CONSERVATION
47253,PASSED,VT1010,COMPLIED,PERMIT,small,-87.63857322,41.75753268,VENTILATION
45016,CLOSED,CN002081,OPEN,COMPLAINT,small,-87.65235269,41.78483663,DEMOLITION
63430,FAILED,EL0096,OPEN,COMPLAINT,small,-87.62887636,41.88994129,SIGNS
62175,FAILED,VT1020,OPEN,COMPLAINT,small,-87.64378777,41.88171469,VENTILATION
34474,FAILED,NC2071,OPEN,COMPLAINT,small,-87.71659076,41.85961588,SPECIAL TASK FORCE
68137,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.64810432,41.7729662,DEMOLITION
62375,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.65448919,41.78486225,DEMOLITION
64967,FAILED,CN069014,OPEN,COMPLAINT,small,-87.63859326,41.84281096,CONSERVATION
69128,CLOSED,CN196039,OPEN,COMPLAINT,small,-87.65234226,41.73842665,DEMOLITION
32216,FAILED,CN103035,OPEN,COMPLAINT,small,-87.70144533,41.96134085,SPECIAL INSPECTION PROGRAM
64505,FAILED,PL237020,OPEN,COMPLAINT,small,-87.75230461,41.91035196,SPECIAL TASK FORCE
26190,FAILED,CN197079,OPEN,PERIODIC,small,-87.69461399,41.90283612,CONSERVATION
84561,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.68753675,41.92602113,DEMOLITION
42873,CLOSED,CN193000,OPEN,COMPLAINT,small,-87.65253885,41.74559294,DEMOLITION
41941,FAILED,CN106015,OPEN,PERIODIC,small,-87.66471012,41.74689956,CONSERVATION
1346,FAILED,CN061024,OPEN,COMPLAINT,small,-87.69795904,41.81569379,CONSERVATION
27453,FAILED,CN197019,OPEN,COMPLAINT,small,-87.66612285,41.9824825,SPECIAL TASK FORCE
38276,FAILED,CN190019,OPEN,COMPLAINT,small,-87.66772022,41.81513731,CONSERVATION
9034,FAILED,CN012022,OPEN,COMPLAINT,small,-87.73324838,41.86412049,CONSERVATION
60949,FAILED,CN138066,OPEN,COMPLAINT,small,-87.7212292,41.84440302,CONSERVATION
38144,FAILED,CN101025,OPEN,COMPLAINT,small,-87.62585099,41.88311169,NEW CONSTRUCTION
73413,CLOSED,BR2080,COMPLIED,PERIODIC,small,-87.68357939,41.87161238,BOILER
83668,FAILED,CN196029,OPEN,COMPLAINT,small,-87.67019701,42.00832005,SPECIAL TASK FORCE
625,FAILED,CN063014,OPEN,COMPLAINT,small,-87.62593562,41.69062878,CONSERVATION
57937,FAILED,CN104025,OPEN,COMPLAINT,small,-87.75005169,41.95623617,CONSERVATION
68331,FAILED,CN069014,OPEN,COMPLAINT,small,-87.63316312,41.68165777,CONSERVATION
61818,FAILED,CN134016,OPEN,COMPLAINT,small,-87.68493308,41.77648053,CONSERVATION
65228,FAILED,CN196029,OPEN,COMPLAINT,small,-87.72443164,41.93729068,CONSERVATION
7369,FAILED,RF302041,OPEN,PERIODIC,small,-87.6152062,41.76582254,REFRIGERATION
23020,FAILED,CN194019,OPEN,COMPLAINT,small,-87.62877868,41.72043729999999,CONSERVATION
46062,PASSED,VT1010,OPEN,PERMIT,small,-87.67600955,41.93606554,VENTILATION
51787,FAILED,NC2011,OPEN,COMPLAINT,small,-87.60961283,41.77538029,CONSERVATION
25482,FAILED,CN070024,OPEN,PERIODIC,small,-87.64654896,41.92744598,CONSERVATION
68406,FAILED,CN031013,OPEN,COMPLAINT,small,-87.63583545,41.76724094,CONSERVATION
30777,FAILED,CN104015,OPEN,PERIODIC,small,-87.65011017,41.94900003,CONSERVATION
71178,FAILED,CN190020,OPEN,COMPLAINT,small,-87.75859491,41.94678593,CONSERVATION
41954,FAILED,CN198019,OPEN,COMPLAINT,small,-87.61983522,41.68405393,CONSERVATION
59291,FAILED,CN063024,OPEN,COMPLAINT,small,-87.72275739,41.78373015,CONSERVATION
51999,FAILED,NC2020,OPEN,COMPLAINT,small,-87.70702557,41.78357039,CONSERVATION
40054,FAILED,CN190019,OPEN,PERIODIC,small,-87.63315961,41.7751479,CONSERVATION
10631,FAILED,CN138056,OPEN,COMPLAINT,small,-87.62226122,41.79252988,CONSERVATION
57407,CLOSED,CN193019,OPEN,COMPLAINT,small,-87.67315236,41.90632147,DEMOLITION
74289,PASSED,BR2080,COMPLIED,PERIODIC,small,-87.70224149,41.87384239,BOILER
2033,FAILED,CN197079,OPEN,COMPLAINT,small,-87.71487162,41.91294641,CONSERVATION
53432,FAILED,CN138056,OPEN,COMPLAINT,small,-87.75434822,41.95069315,CONSERVATION
61211,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.64424133,41.67894463,DEMOLITION
22423,FAILED,CN062024,OPEN,COMPLAINT,small,-87.6719848,41.8910139,CONSERVATION
35002,FAILED,CN138106,OPEN,COMPLAINT,small,-87.66977892,41.80078791,CONSERVATION
67257,PASSED,EV1110,COMPLIED,PERMIT,small,-87.91442844,42.0085364,ELEVATOR
37397,FAILED,CN197019,OPEN,COMPLAINT,small,-87.70428226,41.85511239,CONSERVATION
65709,FAILED,CN196019,OPEN,COMPLAINT,small,-87.67393279,41.78591683,CONSERVATION
28994,FAILED,CN198019,OPEN,PERIODIC,small,-87.64378602,41.92931283,CONSERVATION
17395,FAILED,EL0096,OPEN,COMPLAINT,small,-87.58522849,41.74416023,SIGNS
49012,FAILED,CN136026,OPEN,PERIODIC,small,-87.60778086,41.78209191,CONSERVATION
30808,FAILED,CN065014,OPEN,PERIODIC,small,-87.76494803,41.87849467,CONSERVATION
16906,CLOSED,CN193029,OPEN,COMPLAINT,small,-87.61300891,41.77803853,DEMOLITION
8268,FAILED,CN104035,OPEN,COMPLAINT,small,-87.71154990000001,41.90743072,CONSERVATION
67703,CLOSED,CN196039,OPEN,COMPLAINT,small,-87.71761982,41.89340055,DEMOLITION
75777,PASSED,EL0085,COMPLIED,COMPLAINT,small,-87.78306388,41.92964058,SPECIAL TASK FORCE
12238,FAILED,CN078014,OPEN,COMPLAINT,small,-87.65089352,41.75611237,CONSERVATION
54598,FAILED,CN075014,OPEN,COMPLAINT,small,-87.78398737,41.92231293,CONSERVATION
84556,CLOSED,CN002052,OPEN,COMPLAINT,small,-87.68753675,41.92602113,DEMOLITION
82299,PASSED,CN197019,COMPLIED,COMPLAINT,small,-87.62492669,41.66909731,CONSERVATION
61718,PASSED,VT1010,COMPLIED,PERMIT,small,-87.70473505,41.91252649,VENTILATION
44542,FAILED,CN190029,OPEN,PERIODIC,small,-87.69121216,41.99643294,CONSERVATION
81850,FAILED,CN065034,OPEN,PERIODIC,small,-87.61340337,41.80772302,CONSERVATION
72036,FAILED,EL0033,OPEN,COMPLAINT,small,-87.73319609,41.84894444,SPECIAL TASK FORCE
44690,FAILED,CN062024,OPEN,PERIODIC,small,-87.73020115,41.86578105,CONSERVATION
12156,FAILED,CN079014,OPEN,COMPLAINT,small,-87.71867358,41.93751926,CONSERVATION
34819,FAILED,CN015012,OPEN,COMPLAINT,small,-87.66440246,41.79263925,CONSERVATION
51432,CLOSED,CN193039,COMPLIED,COMPLAINT,small,-87.65426345,41.77629244,DEMOLITION
54008,FAILED,CN194039,OPEN,COMPLAINT,small,-87.64289675,41.77261037,SPECIAL TASK FORCE
7714,FAILED,PL151137,OPEN,PERMIT,small,-87.72029669,41.86124019,WATER
62365,FAILED,CN190019,OPEN,PERIODIC,small,-87.56287907,41.75888545,CONSERVATION
67083,FAILED,CN198019,OPEN,PERIODIC,small,-87.60456216,41.78518076,CONSERVATION
83396,CLOSED,CN193019,OPEN,COMPLAINT,small,-87.69246896,41.9003448,DEMOLITION
62363,FAILED,NC5012,OPEN,PERIODIC,small,-87.56287907,41.75888545,CONSERVATION
6798,CLOSED,CN002081,OPEN,COMPLAINT,small,-87.61581452,41.68800419,DEMOLITION
29659,FAILED,CN070024,OPEN,PERIODIC,small,-87.7565398,41.93065216,CONSERVATION
14399,CLOSED,CN196039,OPEN,COMPLAINT,small,-87.56150492,41.75023882,DEMOLITION
62787,FAILED,VT1010,OPEN,COMPLAINT,small,-87.70931047,41.95103251,VENTILATION
80362,FAILED,CN131026,OPEN,COMPLAINT,small,-87.7132589,41.7698055,CONSERVATION
